Date,Weekday,Month,Week,Day,Hour,Outside Wet-Bulb Temp (F),Outside Dry-Bulb Temp (F),Total Space Cooling - Kwh,Heating - kWh,Lighting End-Use Energy - Kwh,Task Lighting End-Use Energy - Kwh,Fans End-Use Energy - Kwh,Miscellaneous Equipment End-Use Energy - Kwh,Data Center IT End-Use Energy - Kwh,Data Center HVAC End-Use Energy - Kwh,Pumps End-Use Energy - Kwh,,
1-Jan,Tuesday,1,1,1,1,16,18,0.351,141.15,2.94377,0,4.99,30.2667,86.576,2.59728,9.69,,278.56475
1-Jan,Tuesday,1,1,1,2,14,16,0.349,150.27,0.876609,0,4.99,30.2667,86.576,2.59728,9.7,,285.625589
1-Jan,Tuesday,1,1,1,3,13,15,0.347,157.22,2.94377,0,4.99,30.2667,86.576,2.59728,9.71,,294.65075
1-Jan,Tuesday,1,1,1,4,11,13,0.346,164.18,0.876609,0,4.99,30.2667,86.576,2.59728,9.72,,299.552589
1-Jan,Tuesday,1,1,1,5,12,14,0.345,169.61,2.94377,0,4.99,30.2667,86.576,2.59728,9.72,,307.04875
1-Jan,Tuesday,1,1,1,6,12,14,0.345,173.67,0.876609,0,4.99,30.2667,86.576,2.59728,9.73,,309.051589
1-Jan,Tuesday,1,1,1,7,11,13,0.344,266.19,2.94377,0,4.99,30.2667,86.576,2.59728,9.74,,403.64775
1-Jan,Tuesday,1,1,1,8,12,14,0.343,254.66,0.750426,0,4.99,30.2667,86.576,2.59728,9.73,,389.913406
1-Jan,Tuesday,1,1,1,9,16,20,0.343,243.97,0.688853,0,4.99,30.2667,86.576,2.59728,9.7,,379.131833
1-Jan,Tuesday,1,1,1,10,20,25,0.776,195.99,0.688853,0,4.99,30.6318,86.576,2.59728,12.46,,334.709933
1-Jan,Tuesday,1,1,1,11,22,28,0.52,164.5,0.688853,0,4.99,30.6318,86.576,2.59728,10.78,,301.283933
1-Jan,Tuesday,1,1,1,12,25,33,0.552,149.81,0.688853,0,4.99,30.6318,86.576,2.59728,10.35,,286.195933
1-Jan,Tuesday,1,1,1,13,27,36,1.048,119.91,0.688853,0,5,30.6318,86.576,2.59728,11.64,,258.091933
1-Jan,Tuesday,1,1,1,14,27,37,0.67,142.35,0.688853,0,5,30.6318,86.576,2.59728,10.72,,279.233933
1-Jan,Tuesday,1,1,1,15,27,37,0.506,149.38,0.688853,0,5,30.6318,86.576,2.59728,10.21,,285.589933
1-Jan,Tuesday,1,1,1,16,26,35,0.493,158.53,0.688853,0,5,30.6318,86.576,2.59728,10.35,,294.866933
1-Jan,Tuesday,1,1,1,17,25,32,0.476,195.6,0.761534,0,5,30.6318,86.576,2.59728,10.37,,332.012614
